date,hometeam,awayteam,fthg,ftag,played
2019-11-23,Brighton,Leicester City,0,2,True
2019-11-23,Watford,Burnley,0,3,True
2019-11-23,Manchester City,Chelsea,2,1,True
2019-11-24,Sheffield Utd,Manchester Utd,3,3,True
2019-11-25,Aston Villa,Newcastle Utd,2,0,True
2019-11-30,Newcastle Utd,Manchester City,2,2,True
2019-11-30,Tottenham,Bournemouth,3,2,True
2019-11-30,Liverpool,Brighton,2,1,True
2019-11-30,Burnley,Crystal Palace,0,2,True
2019-11-30,Chelsea,West Ham,0,1,True
2019-11-30,Southampton,Watford,2,1,True
2019-12-01,Norwich City,Arsenal,2,2,True
2019-12-01,Wolves,Sheffield Utd,1,1,True
2019-12-01,Leicester City,Everton,2,1,True
2019-12-01,Manchester Utd,Aston Villa,2,2,True
2019-12-03,Crystal Palace,Bournemouth,1,0,True
2019-12-03,Burnley,Manchester City,1,4,True
2019-12-04,Manchester Utd,Tottenham,2,1,True
2019-12-04,Wolves,West Ham,2,0,True
2019-12-04,Leicester City,Watford,2,0,True
2019-12-04,Southampton,Norwich City,2,1,True
2019-12-04,Chelsea,Aston Villa,2,1,True
2019-12-04,Liverpool,Everton,5,2,True
2019-12-05,Sheffield Utd,Newcastle Utd,0,2,True
2019-12-05,Arsenal,Brighton,1,2,True
2019-12-07,Everton,Chelsea,3,1,True
2019-12-07,Watford,Crystal Palace,0,0,True
2019-12-07,Bournemouth,Liverpool,0,3,True
2019-12-07,Tottenham,Burnley,5,0,True
2019-12-07,Manchester City,Manchester Utd,1,2,True
2019-12-08,Aston Villa,Leicester City,1,4,True
2019-12-08,Newcastle Utd,Southampton,2,1,True
2019-12-08,Norwich City,Sheffield Utd,1,2,True
2019-12-08,Brighton,Wolves,2,2,True
2019-12-09,West Ham,Arsenal,1,3,True
2019-12-14,Liverpool,Watford,2,0,True
2019-12-14,Chelsea,Bournemouth,0,1,True
2019-12-14,Sheffield Utd,Aston Villa,2,0,True
2019-12-14,Leicester City,Norwich City,1,1,True
2019-12-14,Burnley,Newcastle Utd,1,0,True
2019-12-14,Southampton,West Ham,0,1,True
2019-12-15,Wolves,Tottenham,1,2,True
2019-12-15,Manchester Utd,Everton,1,1,True
2019-12-15,Arsenal,Manchester City,0,3,True
2019-12-16,Crystal Palace,Brighton,1,1,True
2019-12-21,Everton,Arsenal,0,0,True
2019-12-21,Newcastle Utd,Crystal Palace,1,0,True
2019-12-21,Aston Villa,Southampton,1,3,True
2019-12-21,Brighton,Sheffield Utd,0,1,True
2019-12-21,Norwich City,Wolves,1,2,True
2019-12-21,Bournemouth,Burnley,0,1,True
2019-12-21,Manchester City,Leicester City,3,1,True
2019-12-22,Watford,Manchester Utd,2,0,True
2019-12-22,Tottenham,Chelsea,0,2,True
2019-12-26,Tottenham,Brighton,2,1,True
2019-12-26,Everton,Burnley,1,0,True
2019-12-26,Bournemouth,Arsenal,1,1,True
2019-12-26,Sheffield Utd,Watford,1,1,True
2019-12-26,Aston Villa,Norwich City,1,0,True
2019-12-26,Crystal Palace,West Ham,2,1,True
2019-12-26,Chelsea,Southampton,0,2,True
2019-12-26,Manchester Utd,Newcastle Utd,4,1,True
2019-12-26,Leicester City,Liverpool,0,4,True
2019-12-27,Wolves,Manchester City,3,2,True
2019-12-28,Brighton,Bournemouth,2,0,True
2019-12-28,Watford,Aston Villa,3,0,True
2019-12-28,Newcastle Utd,Everton,1,2,True
2019-12-28,Southampton,Crystal Palace,1,1,True
2019-12-28,West Ham,Leicester City,1,2,True
2019-12-28,Norwich City,Tottenham,2,2,True
2019-12-28,Burnley,Manchester Utd,0,2,True
2019-12-29,Arsenal,Chelsea,1,2,True
2019-12-29,Liverpool,Wolves,1,0,True
2019-12-29,Manchester City,Sheffield Utd,2,0,True
2020-01-01,Brighton,Chelsea,1,1,True
2020-01-01,Burnley,Aston Villa,1,2,True
2020-01-01,Watford,Wolves,2,1,True
2020-01-01,Southampton,Tottenham,1,0,True
2020-01-01,Newcastle Utd,Leicester City,0,3,True
2020-01-01,West Ham,Bournemouth,4,0,True
2020-01-01,Norwich City,Crystal Palace,1,1,True
2020-01-01,Manchester City,Everton,2,1,True
2020-01-01,Arsenal,Manchester Utd,2,0,True
2020-01-02,Liverpool,Sheffield Utd,2,0,True
2020-01-10,Sheffield Utd,West Ham,1,0,True
2020-01-11,Crystal Palace,Arsenal,1,1,True
2020-01-11,Chelsea,Burnley,3,0,True
2020-01-11,Manchester Utd,Norwich City,4,0,True
2020-01-11,Leicester City,Southampton,1,2,True
2020-01-11,Wolves,Newcastle Utd,1,1,True
2020-01-11,Everton,Brighton,1,0,True
2020-01-11,Tottenham,Liverpool,0,1,True
2020-01-12,Bournemouth,Watford,0,3,True
2020-01-12,Aston Villa,Manchester City,1,6,True
2020-01-18,Watford,Tottenham,0,0,True
2020-01-18,Brighton,Aston Villa,1,1,True
2020-01-18,Manchester City,Crystal Palace,2,2,True
2020-01-18,West Ham,Everton,1,1,True
2020-01-18,Norwich City,Bournemouth,1,0,True
2020-01-18,Southampton,Wolves,2,3,True
2020-01-18,Arsenal,Sheffield Utd,1,1,True
2020-01-18,Newcastle Utd,Chelsea,1,0,True
2020-01-19,Burnley,Leicester City,2,1,True
2020-01-19,Liverpool,Manchester Utd,2,0,True
2020-01-21,Crystal Palace,Southampton,0,2,True
2020-01-21,Bournemouth,Brighton,3,1,True
2020-01-21,Aston Villa,Watford,2,1,True
2020-01-21,Sheffield Utd,Manchester City,0,1,True
2020-01-21,Everton,Newcastle Utd,2,2,True
2020-01-21,Chelsea,Arsenal,2,2,True
2020-01-22,Leicester City,West Ham,4,1,True
2020-01-22,Tottenham,Norwich City,2,1,True
2020-01-22,Manchester Utd,Burnley,0,2,True
2020-01-23,Wolves,Liverpool,1,2,True
2020-01-29,West Ham,Liverpool,0,2,True
2020-02-01,Leicester City,Chelsea,2,2,True
2020-02-01,Bournemouth,Aston Villa,2,1,True
2020-02-01,Newcastle Utd,Norwich City,0,0,True
2020-02-01,Watford,Everton,2,3,True
2020-02-01,Liverpool,Southampton,4,0,True
2020-02-01,Crystal Palace,Sheffield Utd,0,1,True
2020-02-01,West Ham,Brighton,3,3,True
2020-02-01,Manchester Utd,Wolves,0,0,True
2020-02-02,Burnley,Arsenal,0,0,True
2020-02-02,Tottenham,Manchester City,2,0,True
2020-02-08,Everton,Crystal Palace,3,1,True
2020-02-08,Brighton,Watford,1,1,True
2020-02-09,Sheffield Utd,Bournemouth,2,1,True
2020-02-14,Wolves,Leicester City,0,0,True
2020-02-15,Southampton,Burnley,1,2,True
2020-02-15,Norwich City,Liverpool,0,1,True
2020-02-16,Aston Villa,Tottenham,2,3,True
2020-02-16,Arsenal,Newcastle Utd,4,0,True
2020-02-17,Chelsea,Manchester Utd,0,2,True
2020-02-19,Manchester City,West Ham,2,0,True
